hbo	Meta	en	optionalComment
שׁ	Shin	š	# Shin followed by shin dot
שׁ	Shin	š	# Single character Keep shin as a single consonant for now (for easier processing) then change to sh later
שּׁ	Shin	šš	# shin, shin dot, dagesh or mapiq
שּׁ	Shin	šš	# shin, dagesh or mapiq, shin dot
שְׁ		šə	# Shva is before shin dot
שַׁ		ša	# Patah is before shin dot
שָׁ		šā	# Qamats is before shin dot
שֶׁ		še	# Segol is before shin dot
שֵׁ		šē	# Tsere is before shin dot
שִׁ		ši	# Hiriq is before shin dot
שֹׁ		šo	# Holam is before shin dot
שֻׁ		šu	# Qubuts is before shin dot
שְּׁ		ššə	# Shva is before dagesh which is before shin dot
שַּׁ		šša	# Patah is before dagesh which is before shin dot
שֶּׁ		šše	# Segol is before dagesh which is before shin dot
שִּׁ		šši	# Hiriq is before dagesh which is before shin dot
בשֶׁ		boše	# Shin dot functions as holam also (even though out of order)
שׂ	Sin	s
שׂ	Sin	s
שּׂ	Sin	ss
שְׂ		sə	# Shva is before sin dot
שַׂ		sa	# Patah is before sin dot
שָׂ		sā	# Qamats is before sin dot
שֶׂ		se	# Segol is before sin dot
שֵׂ		sē	# Tsere is before sin dot
שִׂ		si	# Hiriq is before sin dot
שַּׂ		ssa	# Patah is before dagesh which is before sin dot
שָּׂ		ssā	# Qamats is before dagesh which is before sin dot
ת	Tav	t
תּ	Tav	tt
תְּ		ttə	# Shva is before dagesh
תַּ		tta	# Patah is before dagesh
תָּ		ttā	# Qamats is before dagesh
תֶּ		tte	# Segol is before dagesh
תֵּ		ttē	# Tsere is before dagesh
תִּ		tti	# Hiriq is before dagesh
תֹּ		tto	# Holam is before dagesh
תֻּ		ttu	# Qubuts is before dagesh
ְ	Shva	ə
ַ	Patah	a
ָ	Qamats	ā
ׇ	QamatsQatan	ō	# Testing (we want it different from holam)
ֿ	Rafe
ֶ	Segol	e
ֲ	HatafPatah	ₐ
ֳ	HatafQamats	ₒ
ֱ	HatafSegol	ₑ
ֵ	Tsere	ē
ִ	Hiriq	i
ִי	HiriqYod	ī	# This may not be a good solution -- only applies if the yod doesn't have it's own pointing
ֹ	Holam	o
ֺ	HolamHaserForVav	o
ֻ	Qubuts	u
־	Maqaf	-	# Change to English hyphen
ֽ	Meteg
׀	Paseq
׆	NunHafukha	[
ׅ	LowerDot
ׄ	UpperDot
֧	DargaAccent
֭	DehiAccent
֑	EtnahtaAccent
֜	GereshAccent
֝	GereshMuqdamAccent
֞	GershayimAccent
֬	IluyAccent
֤	MahapakhAccent
֥	MerkhaAccent
֦	MerkhaKefulaAccent
֣	MunahAccent
֫	OleAccent
֙	PashtaAccent
֡	PazerAccent
֨	QadmaAccent
֟	QarneyParaAccent
֗	ReviaAccent
֒	SegolAccent
֓	ShaksheletAccent
֠	TelishaGedolaAccent
֩	TelishaQetanaAccent
֛	TevirAccent
֖	TipehaAccent
֪	YerahBenYomoAccent
֚	YetivAccent
֕	ZaqefGadolAccent
֔	ZaqefQatanAccent
֘	ZarqaAccent
֮	ZinorAccent
׃פ	SofPasuqPe	.◊
׃ס	SofPasuqSamekh	.§
׃	SofPasuq	.
